LotID,Agency,Area,Development,LotType,OBJECTID,LU_DESC,LU_TEXT,LU_DT_DESC,GPR,GPR_NUM,WHI_Q_MX,GPR_B_MN,REGION_N,PLN_AREA_N,SUBZONE_NO,SUBZONE_N,CREATE_BY,CREATE_DT,LST_MDF_BY,LST_MDF_DT,SYSTEM_ID,SHAPE_Length,SHAPE_Area,n_lots,Latitude,Longitude,nearest_temperature_station,nearest_rainfall_station,nearest_windspeed_station,nearest_weatherforecast_station
SB36,HDB,,BLK 121 CANBERRA ST,C,91962.0,RESIDENTIAL,,Public Housing,2.8,2.8000000000000003,,,NORTH REGION,SEMBAWANG,1.0,SEMBAWANG EAST,CHEW LAI PENG,1361199938000.0,Chew Lai Peng,1568376083000.0,180718-99283,535.4544672077126,18142.74185340871,215.0,1.447434316,103.8339823,S115,S115,S115,Western Islands
SB38,HDB,,BLK 129 CANBERRA ST,C,91964.0,RESIDENTIAL,,Public Housing,2.8,2.8000000000000003,,,NORTH REGION,SEMBAWANG,1.0,SEMBAWANG EAST,CHEW LAI PENG,1361199938000.0,Chew Lai Peng,1568376083000.0,180718-99285,951.4690044739216,49085.64238285863,559.0,1.444643047,103.8326927,S115,S115,S115,Western Islands
SB4,HDB,,BLK 313A SEMBAWANG DRIVE,C,16786.0,RESIDENTIAL, ,Residential - Public Housing - Non-Landed,2.8,2.8000000000000003,,,NORTH REGION,SEMBAWANG,3.0,SEMBAWANG CENTRAL,ADILAH BTE ABDUL LATIP,1187363050000.0,Chew Lai Peng,1568378709000.0,180718-19060,1690.1555202199208,92262.35351226284,230.0,1.444079707,103.8212732,S115,S115,S115,Western Islands
SB40,HDB,,BLK 115 CANBERRA WALK,C,106059.0,RESIDENTIAL,,PUBLIC HOUSING - NON-LANDED,2.3,2.3000000000000003,,,NORTH REGION,SEMBAWANG,1.0,SEMBAWANG EAST,Chew Lai Peng,1366720480000.0,Chew Lai Peng,1568138108000.0,180718-99783,577.5510867173889,22211.909979265183,229.0,1.446072465,103.8287072,S115,S115,S115,Western Islands
SB5,HDB,,BLK 322A SEMBAWANG CLOSE,C,83824.0,RESIDENTIAL,,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH REGION,SEMBAWANG,3.0,SEMBAWANG CENTRAL,CHEW LAI PENG,1212080636000.0,Chew Lai Peng,1568389284000.0,180718-90112,2598.408436663867,151006.96249906474,500.0,1.446077602,103.818241,S115,S115,S115,Western Islands
SB6,HDB,,BLK 306A CANBERRA ROAD,C,16786.0,RESIDENTIAL, ,Residential - Public Housing - Non-Landed,2.8,2.8000000000000003,,,NORTH REGION,SEMBAWANG,3.0,SEMBAWANG CENTRAL,ADILAH BTE ABDUL LATIP,1187363050000.0,Chew Lai Peng,1568378709000.0,180718-19060,1690.1555202199208,92262.35351226284,499.0,1.445341201,103.8225551,S115,S115,S115,Western Islands
SB7,HDB,,BLK 336A SEMBAWANG CRESCENT,C,83824.0,RESIDENTIAL,,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH REGION,SEMBAWANG,3.0,SEMBAWANG CENTRAL,CHEW LAI PENG,1212080636000.0,Chew Lai Peng,1568389284000.0,180718-90112,2598.408436663867,151006.96249906474,379.0,1.446614113,103.8149265,S115,S115,S115,Western Islands
SB8,HDB,,BLK 330A SEMBAWANG CLOSE,C,83824.0,RESIDENTIAL,,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH REGION,SEMBAWANG,3.0,SEMBAWANG CENTRAL,CHEW LAI PENG,1212080636000.0,Chew Lai Peng,1568389284000.0,180718-90112,2598.408436663867,151006.96249906474,235.0,1.447080963,103.8171494,S115,S115,S115,Western Islands
SB9,HDB,,BLK 335A SEMBAWANG CLOSE,C,83824.0,RESIDENTIAL,,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH REGION,SEMBAWANG,3.0,SEMBAWANG CENTRAL,CHEW LAI PENG,1212080636000.0,Chew Lai Peng,1568389284000.0,180718-90112,2598.408436663867,151006.96249906474,442.0,1.447603143,103.8154982,S115,S115,S115,Western Islands
SD1,HDB,,BLK 40-44 SIMS DRIVE,C,84499.0,RESIDENTIAL,,,2.8,2.8000000000000003,,,CENTRAL REGION,GEYLANG,4.0,ALJUNIED,TAN LEE GEK,1219166140000.0,Ang Ah Lan,1571135188000.0,180718-90872,431.4501310470522,11062.72804653794,105.0,1.316572678,103.8770833,S115,S115,S115,Tuas
SD11,HDB,,BLK 63 SIMS PLACE,C,85238.0,RESIDENTIAL,,Residential  - Public Housing - Non-Landed,3.5,3.5,,,CENTRAL REGION,GEYLANG,4.0,ALJUNIED,TAN LEE GEK,1220378491000.0,Ang Ah Lan,1571135189000.0,180718-91706,336.74611372267225,7153.363338299011,57.0,1.31638569,103.8794488,S115,S115,S115,Tuas
SD3,HDB,,BLK 46/47/48/49 SIMS PLACE,C,85066.0,RESIDENTIAL,,Residential  - Public Housing - Non-Landed,2.8,2.8000000000000003,,,CENTRAL REGION,GEYLANG,4.0,ALJUNIED,TAN LEE GEK,1220036997000.0,Ang Ah Lan,1571135189000.0,180718-91515,1937.9069593436168,25729.189040242825,179.0,1.317329964,103.8792476,S115,S115,S115,Tuas
SD4,HDB,,BLK 52 SIMS PLACE,C,85067.0,RESIDENTIAL,,Residential  - Public Housing - Non-Landed,2.8,2.8000000000000003,,,CENTRAL REGION,GEYLANG,4.0,ALJUNIED,TAN LEE GEK,1220036997000.0,Ang Ah Lan,1571135189000.0,180718-91516,330.2154763284067,5477.7964293946325,27.0,1.316578348,103.8802418,S115,S115,S115,Tuas
SD9,HDB,,BLK 114 LOR 3 GEYLANG,C,66157.0,RESIDENTIAL,,,2.8,2.8000000000000003,,,CENTRAL REGION,KALLANG,4.0,KAMPONG BUGIS,ISKANDAR SYAH BIN ABDUL AZIZ,1194833718000.0,Goh Lee Kiaw,1571154350000.0,180718-70960,429.01990644022175,11351.975300537582,44.0,1.31176147,103.8734959,S115,S115,S115,Tuas
